id,nom,groupe_musculaire,equipement,url
pull-through-avec-elastique,Pull through avec élastique,Fessiers,Élastique,https://www.docteur-fitness.com/pull-through-avec-elastique
extension-lombaire-au-banc-a-45,Extension lombaire au banc à 45°,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/extension-lombaire-au-banc-a-45
souleve-de-terre-avec-elastique,Soulevé de terre avec élastique,Fessiers,Élastique,https://www.docteur-fitness.com/souleve-de-terre-avec-elastique
montees-sur-banc-laterales-avec-barre,Montées sur banc latérales avec barre,Fessiers,Barre,https://www.docteur-fitness.com/montees-sur-banc-laterales-avec-barre
marche-avec-elastique,Marche avec élastique,Fessiers,Élastique,https://www.docteur-fitness.com/marche-avec-elastique
hack-squat-inverse,Hack squat inversé,Fessiers,Machine,https://www.docteur-fitness.com/hack-squat-inverse
squat-goblet-avec-kettlebell,Squat goblet avec kettlebell,Fessiers,Kettlebell,https://www.docteur-fitness.com/squat-goblet-avec-kettlebell
zercher-squat,Zercher Squat,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/zercher-squat
pistol-squat,Pistol squat,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/pistol-squat
fentes-avant-avec-kettlebell,Fentes avant avec kettlebell,Fessiers,Kettlebell,https://www.docteur-fitness.com/fentes-avant-avec-kettlebell
souleve-de-terre-sumo-avec-kettlebell,Soulevé de terre sumo avec kettlebell,Fessiers,Kettlebell,https://www.docteur-fitness.com/souleve-de-terre-sumo-avec-kettlebell
glute-ham-developer,Extensions de hanches au GHD,Fessiers,Machine,https://www.docteur-fitness.com/glute-ham-developer
front-squat-avec-halteres,Front squat avec haltères,Fessiers,Haltères,https://www.docteur-fitness.com/front-squat-avec-halteres
squat-sumo-avec-haltere,Squat sumo avec haltère,Fessiers,Haltères,https://www.docteur-fitness.com/squat-sumo-avec-haltere
montees-sur-banc-lateral-avec-halteres,Montées sur banc latérales avec haltères,Fessiers,Haltères,https://www.docteur-fitness.com/montees-sur-banc-lateral-avec-halteres
fentes-avant-avec-barre,Fentes avant avec barre,Fessiers,Barre,https://www.docteur-fitness.com/fentes-avant-avec-barre
thruster-avec-kettlebell,Thruster avec kettlebell,Fessiers,Kettlebell,https://www.docteur-fitness.com/thruster-avec-kettlebell
souleve-de-terre-avec-machine,Soulevé de terre avec machine,Fessiers,Machine,https://www.docteur-fitness.com/souleve-de-terre-avec-machine
bear-plank-avec-kickback,Bear plank avec kickback,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/bear-plank-avec-kickback
squat-avec-sangles-de-suspension,Squat avec sangles de suspension,Fessiers,Sangles de suspension / TRX,https://www.docteur-fitness.com/squat-avec-sangles-de-suspension
hip-thrust-avec-sangles-de-suspension,Hip thrust avec sangles de suspension,Fessiers,Sangles de suspension / TRX,https://www.docteur-fitness.com/hip-thrust-avec-sangles-de-suspension
souleve-de-terre-valise-a-un-bras,Soulevé de terre valise,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-valise-a-un-bras
goblet-squat,Goblet squat avec haltère,Fessiers,Haltères,https://www.docteur-fitness.com/goblet-squat
fentes-avant-avec-halteres,Fentes avant avec haltères,Fessiers,Haltères,https://www.docteur-fitness.com/fentes-avant-avec-halteres
presse-a-cuisses-horizontale,Presse à cuisses horizontale,Fessiers,Machine,https://www.docteur-fitness.com/presse-a-cuisses-horizontale
squat-bulgare-avec-halteres,Squat bulgare avec haltères,Fessiers,Haltères,https://www.docteur-fitness.com/squat-bulgare-avec-halteres
zercher-deadlift,Zercher deadlift,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/zercher-deadlift
thruster,Thruster,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/thruster
squat-avec-landmine,Squat avec landmine,Fessiers,Landmine,https://www.docteur-fitness.com/squat-avec-landmine
squat-cosaque,Squat cosaque,Fessiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-cosaque
extension-de-jambe-unilaterale-sur-une-machine-a-dips-assistes,Extension de jambe unilatérale sur une machine à dips assistés,Fessiers,Machine,https://www.docteur-fitness.com/extension-de-jambe-unilaterale-sur-une-machine-a-dips-assistes
arrache-avec-haltere,Arraché avec haltère,Quadriceps,Haltères,https://www.docteur-fitness.com/arrache-avec-haltere
fente-bulgare-a-elastique,Fente bulgare à l'élastique,Quadriceps,Élastique,https://www.docteur-fitness.com/fente-bulgare-a-elastique
leg-extension-avec-elastique,Leg extension avec élastique,Quadriceps,Élastique|Machine,https://www.docteur-fitness.com/leg-extension-avec-elastique
